"","ENSEMBL","NAME","ENTREZID"
"Pcmtd1","ENSMUSG00000051285","Pcmtd1","319263"
"Cdh7","ENSMUSG00000026312","Cdh7","241201"
"Exo1","ENSMUSG00000039748","Exo1","26909"
"Becn2","ENSMUSG00000104158","Becn2","226720"
"Uxs1","ENSMUSG00000057363","Uxs1","67883"
"Cdh19","ENSMUSG00000047216","Cdh19","227485"
"Dsel","ENSMUSG00000038702","Dsel","319901"
"Gmppa","ENSMUSG00000033021","Gmppa","69080"
"Pld5","ENSMUSG00000055214","Pld5","319455"
"Gm36536","ENSMUSG00000104021","Gm36536","102640488"
"Asic4","ENSMUSG00000033007","Asic4","241118"
"Cntnap5a","ENSMUSG00000070695","Cntnap5a","636808"
"Sntg1","ENSMUSG00000025909","Sntg1","71096"
"B020011L13Rik","ENSMUSG00000101303","B020011L13Rik","547097"
"Rrs1","ENSMUSG00000061024","Rrs1","59014"
"Tsn","ENSMUSG00000026374","Tsn","22099"
"Nifk","ENSMUSG00000026377","Nifk","67949"
"Adhfe1","ENSMUSG00000025911","Adhfe1","76187"
"Vxn","ENSMUSG00000067879","Vxn","76982"
"Cep170","ENSMUSG00000057335","Cep170","545389"
"Mybl1","ENSMUSG00000025912","Mybl1","17864"
"Vcpip1","ENSMUSG00000045210","Vcpip1","70675"
"Tpp2","ENSMUSG00000041763","Tpp2","22019"
"Sdccag8","ENSMUSG00000026504","Sdccag8","76816"
"Mettl21c","ENSMUSG00000047343","Mettl21c","433294"
"Niban1","ENSMUSG00000026483","Niban1","63913"
"Gm17751","ENSMUSG00000100553","Gm17751","620079"
"Akt3","ENSMUSG00000019699","Akt3","23797"
"Zbtb18","ENSMUSG00000063659","Zbtb18","30928"
"Tex30","ENSMUSG00000026049","Tex30","75623"
"Edem3","ENSMUSG00000043019","Edem3","66967"
"1700016C15Rik","ENSMUSG00000015962","1700016C15Rik","69428"
"1700025G04Rik","ENSMUSG00000032666","1700025G04Rik","69399"
"Adss","ENSMUSG00000015961","Adss","11566"
"Catspere1","ENSMUSG00000102483","Catspere1","631584"
"Tsen15","ENSMUSG00000014980","Tsen15","66637"
"Epha4","ENSMUSG00000026235","Epha4","13838"
"Colgalt2","ENSMUSG00000032649","Colgalt2","269132"
"Poglut2","ENSMUSG00000026047","Poglut2","72050"
"Catspere2","ENSMUSG00000091476","Catspere2","545391"
"Pax3","ENSMUSG00000004872","Pax3","18505"
"Bivm","ENSMUSG00000041684","Bivm","246229"
"Sgpp2","ENSMUSG00000032908","Sgpp2","433323"
"Desi2","ENSMUSG00000026502","Desi2","78825"
"Cox20","ENSMUSG00000026500","Cox20","66359"
"Ercc5","ENSMUSG00000026048","Ercc5","22592"
"Mettl21e","ENSMUSG00000046828","Mettl21e","403183"
"Gm28893","ENSMUSG00000100769","Gm28893","105243917"
"Farsb","ENSMUSG00000026245","Farsb","23874"
"Rgl1","ENSMUSG00000026482","Rgl1","19731"
"Apobec4","ENSMUSG00000055547","Apobec4","71281"
"Mogat1","ENSMUSG00000012187","Mogat1","68393"
"Arpc5","ENSMUSG00000008475","Arpc5","67771"
"Gm29611","ENSMUSG00000100562","Gm29611","108167629"
"Gulp1","ENSMUSG00000056870","Gulp1","70676"
"4930521E06Rik","ENSMUSG00000101701","4930521E06Rik","75066"
"Hnrnpu","ENSMUSG00000039630","Hnrnpu","51810"
"Efcab2","ENSMUSG00000026495","Efcab2","68226"
"Acsl3","ENSMUSG00000032883","Acsl3","74205"
"Ncf2","ENSMUSG00000026480","Ncf2","17970"
"Kif26b","ENSMUSG00000026494","Kif26b","269152"
"Sgk3","ENSMUSG00000025915","Sgk3","170755"
"Utp14b","ENSMUSG00000079470","Utp14b","195434"
"Gm29536","ENSMUSG00000099706","Gm29536","102636764"
"Kcne4","ENSMUSG00000047330","Kcne4","57814"
"Scg2","ENSMUSG00000050711","Scg2","20254"
"Smyd3","ENSMUSG00000055067","Smyd3","69726"
"Ap1s3","ENSMUSG00000054702","Ap1s3","252903"
"Tfb2m","ENSMUSG00000026492","Tfb2m","15278"
"Cnst","ENSMUSG00000038949","Cnst","226744"
"Col3a1","ENSMUSG00000026043","Col3a1","12825"
"Mcmdc2","ENSMUSG00000046101","Mcmdc2","240697"
"Tcf24","ENSMUSG00000099032","Tcf24","100039596"
"Sccpdh","ENSMUSG00000038936","Sccpdh","109232"
"Smg7","ENSMUSG00000042772","Smg7","226517"
"Kif28","ENSMUSG00000087236","Kif28","383592"
"Col5a2","ENSMUSG00000026042","Col5a2","12832"
"Wdfy1","ENSMUSG00000073643","Wdfy1","69368"
"Ppp1r42","ENSMUSG00000025916","Ppp1r42","69312"
"Mrpl44","ENSMUSG00000026248","Mrpl44","69163"
"Serpine2","ENSMUSG00000026249","Serpine2","20720"
"Nmnat2","ENSMUSG00000042751","Nmnat2","226518"
"Fam124b","ENSMUSG00000043230","Fam124b","241128"
"Ahctf1","ENSMUSG00000026491","Ahctf1","226747"
"Cops5","ENSMUSG00000025917","Cops5","26754"
"Lamc2","ENSMUSG00000026479","Lamc2","16782"
"Cul3","ENSMUSG00000004364","Cul3","26554"
"Lamc1","ENSMUSG00000026478","Lamc1","226519"
"Shcbp1l","ENSMUSG00000042708","Shcbp1l","71836"
"Dnah7b","ENSMUSG00000041144","Dnah7b","227058"
"Dhx9","ENSMUSG00000042699","Dhx9","13211"
"Npl","ENSMUSG00000042684","Npl","74091"
"Dnah7c","ENSMUSG00000101337","Dnah7c","100101919"
"Slc39a10","ENSMUSG00000025986","Slc39a10","227059"
"Cspp1","ENSMUSG00000056763","Cspp1","211660"
"C230029F24Rik","ENSMUSG00000051616","C230029F24Rik","442837"
"Gm28321","ENSMUSG00000100816","Gm28321","102633780"
"Rgs8","ENSMUSG00000042671","Rgs8","67792"
"C230024C17Rik","ENSMUSG00000100334","C230024C17Rik","329271"
"Tmeff2","ENSMUSG00000026109","Tmeff2","56363"
"Rgs16","ENSMUSG00000026475","Rgs16","19734"
"9330175M20Rik","ENSMUSG00000101799","9330175M20Rik","442821"
"Cavin2","ENSMUSG00000045954","Cavin2","20324"
"Rnasel","ENSMUSG00000066800","Rnasel","24014"
"Arfgef1","ENSMUSG00000067851","Arfgef1","211673"
